ano,faixa_idade,genero,estado,nivel_ensino,cargo_atual,faixa_salarial,tempo_experiencia_dados,linguagem_mais_usada,cor_raca_etnia
2021,40-44,Masculino,São Paulo (SP),Mestrado,,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,,
2021,25-29,Masculino,Paraná (PR),Graduação/Bacharelado,,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,,
2021,35-39,Masculino,São Paulo (SP),Mestrado,,Acima de R$ 40.001/mês,Mais de 10 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Graduação/Bacharelado,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,,
2021,35-39,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,
2021,35-39,Masculino,,Doutorado ou Phd,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,,
2021,35-39,Masculino,Rio Grande do Norte (RN),Mestrado,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,,
2021,25-29,Masculino,Rio Grande do Sul (RS),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,Rio Grande do Sul (RS),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,,
2021,25-29,Feminino,São Paulo (SP),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,,
2021,30-34,Masculino,Alagoas (AL),Mestrado,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,30-34,Masculino,Alagoas (AL),Mestrado,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,Santa Catarina (SC),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,,
2021,25-29,Masculino,Pernambuco (PE),Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,,
2021,35-39,Masculino,Minas Gerais (MG),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,25-29,Masculino,Paraná (PR),Graduação/Bacharelado,,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,,
2021,22-24,Feminino,São Paulo (SP),Estudante de Graduação,,de R$ 2.001/mês a R$ 3000/mês,de 1 a 2 anos,,
2021,30-34,Masculino,Minas Gerais (MG),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Estudante de Graduação,,de R$ 2.001/mês a R$ 3000/mês,de 1 a 2 anos,,
2021,30-34,Masculino,São Paulo (SP),Não tenho graduação formal,,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,,
2021,40-44,Feminino,São Paulo (SP),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,25-29,Masculino,Pernambuco (PE),Pós-graduação,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,,
2021,30-34,Masculino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,Não tenho experiência na área de dados,,
2021,35-39,Masculino,Paraná (PR),Mestrado,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,
2021,22-24,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,,
2021,35-39,Feminino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,,
2021,30-34,Masculino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,35-39,Masculino,Paraná (PR),Graduação/Bacharelado,,de R$ 4.001/mês a R$ 6.000/mês,de 6 a 10 anos,,
2021,35-39,Masculino,Bahia (BA),Graduação/Bacharelado,,Acima de R$ 40.001/mês,de 1 a 2 anos,,
2021,35-39,Masculino,Espírito Santo (ES),Pós-graduação,,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,,
2021,35-39,Masculino,Bahia (BA),Mestrado,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,,
2021,45-49,Masculino,São Paulo (SP),Mestrado,,de R$ 12.001/mês a R$ 16.000/mês,Menos de 1 ano,,
2021,35-39,Masculino,Rio de Janeiro (RJ),Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,
2021,40-44,Masculino,Santa Catarina (SC),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,,
2021,35-39,Masculino,São Paulo (SP),Pós-graduação,,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
